kode,nama,kategori,protein,lemak,karbohidrat,isi_piringku,energi_kkal_per_100g
GP020,Ikan mujahir goreng,Ikan/Kerang/Udang dll,0.9400492124552033,0.48637298201465406,-2.353589114465347,Lauk-Pauk,402.7
DP011,Kacang panjang kukus,Sayuran,-0.3297431244429171,-0.7572909194460349,0.04000767877379675,Sayuran,47.8
ER030,Jambu air,Buah,-1.1923487025493122,-1.0144233146301218,0.28777734225956497,Buah-buahan,51.4
AP002,Nasi tim,Serealia,-0.4553304228197533,-0.8697278683163129,0.6857262468339103,Makanan Pokok,117.2
DP030,Cap cai sayur,Sayuran,0.02775673835441382,0.0801559792457841,-0.32260595445282103,Sayuran,96.7
ER006,Belimbing,Buah,-1.3619071259552937,-0.8697278683163129,0.1246782957544847,Buah-buahan,40.4
GP021,Ikan Mujahir pepes,Ikan/Kerang/Udang dll,0.6436240073704549,-0.21093833043545476,-1.3895692014838268,Lauk-Pauk,115.2
FP056,Naan maran sapi,Daging,0.8661748555618248,0.5773500824233223,-0.2005826876965084,Lauk-Pauk,478.7
FP042,Chikiniku,Daging,0.28986652842083815,-0.46968680880738223,0.623578749322867,Lauk-Pauk,143.0
FP079,Soto madura,Daging,-0.24396152851602035,-0.03738388516083154,-1.0902274793355256,Lauk-Pauk,59.7
FP028,Ayam goreng mbok berek dada,Daging,0.8747844364214616,0.3264771409511019,-1.2556066687973693,Lauk-Pauk,283.2
FP012,Sapi abon asli,Daging,0.47376681052836844,0.37611497731125665,0.8637955753963564,Lauk-Pauk,357.7
FP084,Soto sulung,Daging,-0.4793943940693027,0.17991109527197569,-2.353589114465347,Lauk-Pauk,85.7
ER100,Salak pondoh,Buah,-1.0551154895704522,-0.8697278683163129,0.562478978552218,Buah-buahan,87.2
CP070,Tempe bongkrek,Kacang-Kacangan,-0.11882653501793303,-0.1283999563548612,0.5160508174520327,Lauk-Pauk,122.3
FP002,Ayam usus goreng,Daging,0.9267861969271196,0.5118720221813156,0.3751618550890606,Lauk-Pauk,473.1
FP069,Sop daging sapi,Daging,0.02775673835441382,-0.8102990199299618,-0.1767663421691154,Lauk-Pauk,48.9
BP024,Cassavastick,Umbi Berpati,-1.0551154895704522,0.41886104458424783,0.48492141555120744,Makanan Pokok,240.3
FP033,Ayam goreng sukabumi paha,Daging,0.8398921991748332,0.34140332200303536,-1.6438925984979749,Lauk-Pauk,273.5
FP049,Kalio ayam,Daging,0.5141405098509682,0.32427063523237337,-0.29310558975103496,Lauk-Pauk,203.1
